,Division,Name,"FY 2009 
Actual Average Teacher Salary","FY 2010 
Actual Average Teacher Salary",FY 2009 to FY 2010 Percent Increase/ (Decrease),"FY 2011 
Budgeted Average Teacher Salary",FY 2010 to FY 2011 Percent Increase/ (Decrease)
0,001,Accomack County Public Schools,40009.0,39299.0,-1.77,39045.0,-0.65
1,002,Albemarle County Public Schools,53175.0,51960.0,-2.28,52018.0,0.11
2,003,Alleghany County Public Schools,46658.0,46646.0,-0.03,46126.0,-1.11
3,004,Amelia County Public Schools,46811.0,46410.0,-0.86,43615.0,-6.02
4,005,Amherst County Public Schools,45544.0,44280.0,-2.77,44565.0,0.64
5,006,Appomattox County Public Schools,42754.0,39870.0,-6.75,37615.0,-5.65
6,007,Arlington County Public Schools,69073.0,69737.0,0.96,69820.0,0.12
7,008,Augusta County Public Schools,45724.0,45001.0,-1.58,43489.0,-3.36
8,009,Bath County Public Schools,43200.0,42076.0,-2.6,40993.0,-2.57
9,010,Bedford County Public Schools1,43455.0,40874.0,-5.94,39430.0,-3.53
10,011,Bland County Public Schools,42156.0,42763.0,1.44,36477.0,-14.7
11,012,Botetourt County Public Schools,49051.0,49001.0,-0.1,42924.0,-12.4
12,013,Brunswick County Public Schools,40277.0,40105.0,-0.43,43092.0,7.45
13,014,Buchanan County Public Schools,41690.0,43017.0,3.18,45948.0,6.81
14,015,Buckingham County Public Schools,43664.0,43448.0,-0.49,44250.0,1.85
15,016,Campbell County Public Schools,43618.0,43376.0,-0.55,42824.0,-1.27
16,017,Caroline County Public Schools,45674.0,44624.0,-2.3,45857.0,2.76
17,018,Carroll County Public Schools,40582.0,40933.0,0.86,41132.0,0.49
18,019,Charles City County Public Schools,40180.0,41117.0,2.33,39842.0,-3.1
19,020,Charlotte County Public Schools,42554.0,41261.0,-3.04,38715.0,-6.17
20,021,Chesterfield County Public Schools,50071.0,49352.0,-1.44,44732.0,-9.36
21,022,Clarke County Public Schools,47601.0,48114.0,1.08,49053.0,1.95
22,023,Craig County Public Schools,42593.0,43168.0,1.35,42862.0,-0.71
23,024,Culpeper County Public Schools,48188.0,48122.0,-0.14,48027.0,-0.2
24,025,Cumberland County Public Schools,40115.0,41417.0,3.24,39742.0,-4.04
25,026,Dickenson County Public Schools,42595.0,40725.0,-4.39,40805.0,0.2
26,027,Dinwiddie County Public Schools,47570.0,46591.0,-2.06,47137.0,1.17
27,028,Essex County Public Schools,44680.0,45581.0,2.01,43841.0,-3.82
28,029,Fairfax County Public Schools2,64559.0,63853.0,-1.09,65264.0,2.21
29,030,Fauquier County Public Schools,56674.0,57068.0,0.69,52600.0,-7.83
30,031,Floyd County Public Schools,43176.0,42851.0,-0.75,41690.0,-2.71
31,032,Fluvanna County Public Schools,53126.0,53144.0,0.03,50706.0,-4.59
32,033,Franklin County Public Schools,46035.0,44732.0,-2.83,44535.0,-0.44
33,034,Frederick County Public Schools,48689.0,47830.0,-1.76,46828.0,-2.09
34,035,Giles County Public Schools,41017.0,41064.0,0.11,41267.0,0.49
35,036,Gloucester County Public Schools,47467.0,46758.0,-1.49,46816.0,0.12
36,037,Goochland County Public Schools,45406.0,46690.0,2.83,45871.0,-1.75
37,038,Grayson County Public Schools,38179.0,36396.0,-4.67,42501.0,16.77
38,039,Greene County Public Schools,44483.0,44178.0,-0.68,43943.0,-0.53
39,040,Greensville County Public Schools3,45470.0,45537.0,0.15,46777.0,2.72
40,041,Halifax County Public Schools,39185.0,39185.0,-0.0,38948.0,-0.6
41,042,Hanover County Public Schools,47479.0,47030.0,-0.94,47541.0,1.09
42,043,Henrico County Public Schools,49829.0,50046.0,0.44,49720.0,-0.65
43,044,Henry County Public Schools,41654.0,40748.0,-2.17,38550.0,-5.39
44,045,Highland County Public Schools,44512.0,43976.0,-1.2,44037.0,0.14
45,046,Isle Of Wight County Public Schools,52513.0,51404.0,-2.11,50423.0,-1.91
46,048,King George County Public Schools,48854.0,48051.0,-1.64,47406.0,-1.34
47,049,King And Queen County Public Schools,41612.0,43977.0,5.68,43087.0,-2.02
48,050,King William County Public Schools,46110.0,45889.0,-0.48,46560.0,1.46
49,051,Lancaster County Public Schools,42624.0,42566.0,-0.14,44471.0,4.48
50,052,Lee County Public Schools,43466.0,44334.0,2.0,44487.0,0.34
51,053,Loudoun County Public Schools,58720.0,59738.0,1.73,60474.0,1.23
52,054,Louisa County Public Schools,49656.0,48009.0,-3.32,48647.0,1.33
53,055,Lunenburg County Public Schools,41332.0,40879.0,-1.1,40749.0,-0.32
54,056,Madison County Public Schools,44538.0,43269.0,-2.85,43269.0,0.0
55,057,Mathews County Public Schools,39697.0,38385.0,-3.31,38362.0,-0.06
56,058,Mecklenburg County Public Schools,42068.0,42469.0,0.95,42065.0,-0.95
57,059,Middlesex County Public Schools,41677.0,42609.0,2.24,39063.0,-8.32
58,060,Montgomery County Public Schools,45738.0,46414.0,1.48,44658.0,-3.78
59,062,Nelson County Public Schools,45345.0,47646.0,5.07,41517.0,-12.86
60,063,New Kent County Public Schools,46989.0,44630.0,-5.02,41608.0,-6.77
61,065,Northampton County Public Schools,40689.0,40391.0,-0.73,38162.0,-5.52
62,066,Northumberland County Public Schools,47323.0,47824.0,1.06,47419.0,-0.85
63,067,Nottoway County Public Schools,47136.0,45489.0,-3.49,48539.0,6.71
64,068,Orange County Public Schools,42628.0,43186.0,1.31,43083.0,-0.24
65,069,Page County Public Schools,44941.0,42678.0,-5.04,38945.0,-8.75
