,Division,Name,"FY 2009 
Actual Average Teacher Salary","FY 2010 
Actual Average Teacher Salary",FY 2009 to FY 2010 Percent Increase/ (Decrease),"FY 2011 
Budgeted Average Teacher Salary",FY 2010 to FY 2011 Percent Increase/ (Decrease)
66,070,Patrick County Public Schools,41296.0,41178.0,-0.29,41485.0,0.75
67,071,Pittsylvania County Public Schools,42338.0,42549.0,0.5,41956.0,-1.39
68,072,Powhatan County Public Schools,47162.0,47228.0,0.14,49318.0,4.43
69,073,Prince Edward County Public Schools,44451.0,43587.0,-1.94,45075.0,3.42
70,074,Prince George County Public Schools,50471.0,49968.0,-1.0,49579.0,-0.78
71,075,Prince William County Public Schools,63873.0,62064.0,-2.83,59601.0,-3.97
72,077,Pulaski County Public Schools,43794.0,41567.0,-5.09,38848.0,-6.54
73,078,Rappahannock County Public Schools,46656.0,47454.0,1.71,46497.0,-2.02
74,079,Richmond County Public Schools,47385.0,47484.0,0.21,46199.0,-2.71
75,080,Roanoke County Public Schools,49221.0,48656.0,-1.15,47718.0,-1.93
76,081,Rockbridge County Public Schools,42510.0,45084.0,6.06,46121.0,2.3
77,082,Rockingham County Public Schools,45124.0,45363.0,0.53,44801.0,-1.24
78,083,Russell County Public Schools,40315.0,39030.0,-3.19,39040.0,0.03
79,084,Scott County Public Schools,44641.0,44267.0,-0.84,47472.0,7.24
80,085,Shenandoah County Public Schools,46181.0,44790.0,-3.01,46242.0,3.24
81,086,Smyth County Public Schools,42845.0,43483.0,1.49,42329.0,-2.65
82,087,Southampton County Public Schools,44126.0,44069.0,-0.13,44993.0,2.1
83,088,Spotsylvania County Public Schools,53222.0,51964.0,-2.36,52691.0,1.4
84,089,Stafford County Public Schools,50820.0,52591.0,3.49,50682.0,-3.63
85,090,Surry County Public Schools,45377.0,47439.0,4.54,43643.0,-8.0
86,091,Sussex County Public Schools,47789.0,49077.0,2.69,48786.0,-0.59
87,092,Tazewell County Public Schools,45059.0,44508.0,-1.22,43460.0,-2.35
88,093,Warren County Public Schools,46127.0,47500.0,2.98,45953.0,-3.26
89,094,Washington County Public Schools,44822.0,44515.0,-0.69,44963.0,1.01
90,095,Westmoreland County Public Schools,41974.0,42170.0,0.47,40311.0,-4.41
91,096,Wise County Public Schools,48974.0,49268.0,0.6,46357.0,-5.91
92,097,Wythe County Public Schools,44307.0,44331.0,0.06,44004.0,-0.74
93,098,York County Public Schools,49800.0,49341.0,-0.92,49164.0,-0.36
94,101,Alexandria City Public Schools,66413.0,67239.0,1.24,70073.0,4.21
95,102,Bristol City Public Schools,45040.0,44864.0,-0.39,43825.0,-2.32
96,103,Buena Vista City Public Schools,41409.0,39185.0,-5.37,36863.0,-5.93
97,104,Charlottesville City Public Schools,54095.0,54226.0,0.24,56569.0,4.32
98,106,Colonial Heights City Public Schools,51937.0,51529.0,-0.79,51202.0,-0.63
99,107,Covington City Public Schools,42728.0,48038.0,12.43,49061.0,2.13
100,108,Danville City Public Schools,46633.0,46970.0,0.72,44665.0,-4.91
101,109,Falls Church City Public Schools,63309.0,63020.0,-0.46,61277.0,-2.77
102,110,Fredericksburg City Public Schools,48148.0,46944.0,-2.5,46992.0,0.1
103,111,Galax City Public Schools,43609.0,43821.0,0.49,43969.0,0.34
104,112,Hampton City Public Schools,44340.0,44616.0,0.62,42244.0,-5.32
105,113,Harrisonburg City Public Schools,46793.0,46253.0,-1.15,45792.0,-1.0
106,114,Hopewell City Public Schools,46399.0,45725.0,-1.45,45717.0,-0.02
107,115,Lynchburg City Public Schools,46475.0,48050.0,3.39,44952.0,-6.45
108,116,Martinsville City Public Schools,42418.0,42803.0,0.91,42424.0,-0.89
109,117,Newport News City Public Schools,48938.0,45842.0,-6.33,45953.0,0.24
110,118,Norfolk City Public Schools,48903.0,48058.0,-1.73,50758.0,5.62
111,119,Norton City Public Schools,43931.0,44528.0,1.36,41583.0,-6.61
112,120,Petersburg City Public Schools,39409.0,40316.0,2.3,42072.0,4.35
113,121,Portsmouth City Public Schools,42270.0,44450.0,5.16,49458.0,11.27
114,122,Radford City Public Schools,49157.0,49489.0,0.68,48976.0,-1.04
115,123,Richmond City Public Schools,49403.0,49395.0,-0.02,49463.0,0.14
116,124,Roanoke City Public Schools,43563.0,38723.0,-11.11,36078.0,-6.83
117,126,Staunton City Public Schools,43965.0,44157.0,0.44,44075.0,-0.19
118,127,Suffolk City Public Schools,49964.0,50130.0,0.33,49124.0,-2.01
119,128,Virginia Beach City Public Schools,53343.0,52710.0,-1.19,53379.0,1.27
120,130,Waynesboro City Public Schools,46222.0,43188.0,-6.56,44399.0,2.81
121,131,Williamsburg Public Schools4,53722.0,53754.0,0.06,50900.0,-5.31
122,132,Winchester City Public Schools,50404.0,47541.0,-5.68,47121.0,-0.88
123,135,Franklin City Public Schools,45787.0,44111.0,-3.66,45710.0,3.63
124,136,Chesapeake City Public Schools,54385.0,52514.0,-3.44,53878.0,2.6
125,137,Lexington City Public Schools,47204.0,41937.0,-11.16,42356.0,1.0
126,139,Salem City Public Schools,53912.0,53218.0,-1.29,54372.0,2.17
127,142,Poquoson City Public Schools,48225.0,47166.0,-2.2,46119.0,-2.22
128,143,Manassas City Public Schools,63666.0,62886.0,-1.22,60071.0,-4.48
129,144,Manassas Park City Public Schools,56429.0,56322.0,-0.19,50504.0,-10.33
130,202,Colonial Beach Public Schools,42432.0,43090.0,1.55,38501.0,-10.65
131,207,West Point Public Schools,39841.0,42581.0,6.88,43577.0,2.34
