,Division,Name,"FY 2008 
Actual Average Teacher Salary","FY 2009 
Actual Average Teacher Salary",FY 2008 to FY 2009 Percent Increase/ (Decrease),"FY 2010 
Budgeted Average Teacher Salary",FY 2009 to FY 2010 Percent Increase/ (Decrease)
0,001,Accomack County Public Schools,39576.0,40009.0,1.09,40196.0,0.47
1,002,Albemarle County Public Schools,51223.0,53175.0,3.81,53529.0,0.67
2,003,Alleghany County Public Schools,45580.0,46658.0,2.37,47801.0,2.45
3,004,Amelia County Public Schools,44349.0,46811.0,5.55,42619.0,-8.96
4,005,Amherst County Public Schools,42816.0,45544.0,6.37,44981.0,-1.24
5,006,Appomattox County Public Schools,41028.0,42754.0,4.21,40841.0,-4.47
6,007,Arlington County Public Schools,67742.0,69073.0,1.96,69991.0,1.33
7,008,Augusta County Public Schools,44062.0,45724.0,3.77,45644.0,-0.17
8,009,Bath County Public Schools,42037.0,43200.0,2.77,41814.0,-3.21
9,010,Bedford County Public Schools1,40827.0,43455.0,6.44,43184.0,-0.62
10,011,Bland County Public Schools,39761.0,42156.0,6.02,42749.0,1.41
11,012,Botetourt County Public Schools,47904.0,49051.0,2.39,46667.0,-4.86
12,013,Brunswick County Public Schools,38596.0,40277.0,4.36,42935.0,6.6
13,014,Buchanan County Public Schools,39521.0,41690.0,5.49,48281.0,15.81
14,015,Buckingham County Public Schools,42097.0,43664.0,3.72,37463.0,-14.2
15,016,Campbell County Public Schools,42204.0,43618.0,3.35,43617.0,-0.0
16,017,Caroline County Public Schools,43301.0,45674.0,5.48,44661.0,-2.22
17,018,Carroll County Public Schools,36938.0,40582.0,9.87,40550.0,-0.08
18,019,Charles City County Public Schools,38511.0,40180.0,4.33,40210.0,0.07
19,020,Charlotte County Public Schools,42040.0,42554.0,1.22,45127.0,6.05
20,021,Chesterfield County Public Schools,48180.0,50071.0,3.93,48685.0,-2.77
21,022,Clarke County Public Schools5,45402.0,47601.0,4.84,45989.0,-3.39
22,023,Craig County Public Schools,42430.0,42593.0,0.38,41901.0,-1.62
23,024,Culpeper County Public Schools,48348.0,48188.0,-0.33,48672.0,1.0
24,025,Cumberland County Public Schools,39108.0,40115.0,2.57,37859.0,-5.63
25,026,Dickenson County Public Schools,39957.0,42595.0,6.6,43079.0,1.14
26,027,Dinwiddie County Public Schools,45181.0,47570.0,5.29,50635.0,6.44
27,028,Essex County Public Schools,42812.0,44680.0,4.36,44008.0,-1.5
28,029,Fairfax County Public Schools2,62458.0,64559.0,3.36,64634.0,0.12
29,030,Fauquier County Public Schools,55179.0,56674.0,2.71,51600.0,-8.95
30,031,Floyd County Public Schools,41896.0,43176.0,3.06,42452.0,-1.68
31,032,Fluvanna County Public Schools,50991.0,53126.0,4.19,49870.0,-6.13
32,033,Franklin County Public Schools,43837.0,46035.0,5.01,46035.0,0.0
33,034,Frederick County Public Schools,47085.0,48689.0,3.41,47427.0,-2.59
34,035,Giles County Public Schools,40903.0,41017.0,0.28,41157.0,0.34
35,036,Gloucester County Public Schools,45857.0,47467.0,3.51,46310.0,-2.44
36,037,Goochland County Public Schools,45358.0,45406.0,0.11,46168.0,1.68
37,038,Grayson County Public Schools,37108.0,38179.0,2.88,43669.0,14.38
38,039,Greene County Public Schools,36056.0,44483.0,23.37,44332.0,-0.34
39,040,Greensville County Public Schools3,43318.0,45470.0,4.97,46083.0,1.35
40,041,Halifax County Public Schools,40518.0,39185.0,-3.29,40409.0,3.12
41,042,Hanover County Public Schools,45002.0,47479.0,5.5,47170.0,-0.65
42,043,Henrico County Public Schools,48776.0,49829.0,2.16,50163.0,0.67
43,044,Henry County Public Schools,40181.0,41654.0,3.67,38208.0,-8.27
44,045,Highland County Public Schools,40337.0,44512.0,10.35,39670.0,-10.88
45,046,Isle Of Wight County Public Schools,49741.0,52513.0,5.57,50506.0,-3.82
46,048,King George County Public Schools,46172.0,48854.0,5.81,49554.0,1.43
47,049,King And Queen County Public Schools,42565.0,41612.0,-2.24,39920.0,-4.07
48,050,King William County Public Schools,45314.0,46110.0,1.76,45794.0,-0.69
49,051,Lancaster County Public Schools,44186.0,42624.0,-3.53,43487.0,2.02
50,052,Lee County Public Schools,40867.0,43466.0,6.36,43922.0,1.05
51,053,Loudoun County Public Schools,57518.0,58720.0,2.09,57814.0,-1.54
52,054,Louisa County Public Schools,48304.0,49656.0,2.8,49469.0,-0.38
53,055,Lunenburg County Public Schools,40124.0,41332.0,3.01,41692.0,0.87
54,056,Madison County Public Schools,44253.0,44538.0,0.64,43983.0,-1.25
55,057,Mathews County Public Schools,39263.0,39697.0,1.11,43618.0,9.88
56,058,Mecklenburg County Public Schools,40632.0,42068.0,3.53,42197.0,0.31
57,059,Middlesex County Public Schools,39666.0,41677.0,5.07,40668.0,-2.42
58,060,Montgomery County Public Schools,43672.0,45738.0,4.73,46336.0,1.31
59,062,Nelson County Public Schools,44422.0,45345.0,2.08,45781.0,0.96
60,063,New Kent County Public Schools,43297.0,46989.0,8.53,46494.0,-1.05
61,065,Northampton County Public Schools,38407.0,40689.0,5.94,41778.0,2.68
62,066,Northumberland County Public Schools,47263.0,47323.0,0.13,44917.0,-5.09
63,067,Nottoway County Public Schools,42025.0,47136.0,12.16,41869.0,-11.17
64,068,Orange County Public Schools,41800.0,42628.0,1.98,43553.0,2.17
65,069,Page County Public Schools,43956.0,44941.0,2.24,41396.0,-7.89
66,070,Patrick County Public Schools,40120.0,41296.0,2.93,42814.0,3.68
67,071,Pittsylvania County Public Schools,40924.0,42338.0,3.46,42277.0,-0.14
68,072,Powhatan County Public Schools,45637.0,47162.0,3.34,48663.0,3.18
69,073,Prince Edward County Public Schools,43507.0,44451.0,2.17,45861.0,3.17
70,074,Prince George County Public Schools,46996.0,50471.0,7.39,50079.0,-0.78
71,075,Prince William County Public Schools,59656.0,63873.0,7.07,59073.0,-7.51
72,077,Pulaski County Public Schools,42876.0,43794.0,2.14,43719.0,-0.17
73,078,Rappahannock County Public Schools,45312.0,46656.0,2.97,45006.0,-3.54
74,079,Richmond County Public Schools,45242.0,47385.0,4.74,47776.0,0.83
75,080,Roanoke County Public Schools,47698.0,49221.0,3.19,47357.0,-3.79
76,081,Rockbridge County Public Schools,40621.0,42510.0,4.65,42136.0,-0.88
77,082,Rockingham County Public Schools,44484.0,45124.0,1.44,44296.0,-1.83
78,083,Russell County Public Schools5,37006.0,40315.0,8.94,41564.0,3.1
79,084,Scott County Public Schools,43542.0,44641.0,2.52,44117.0,-1.17
80,085,Shenandoah County Public Schools,44835.0,46181.0,3.0,48197.0,4.37
81,086,Smyth County Public Schools,42986.0,42845.0,-0.33,44938.0,4.88
82,087,Southampton County Public Schools,43078.0,44126.0,2.43,44384.0,0.58
83,088,Spotsylvania County Public Schools,52291.0,53222.0,1.78,53518.0,0.56
84,089,Stafford County Public Schools,52251.0,50820.0,-2.74,51341.0,1.03
85,090,Surry County Public Schools,44646.0,45377.0,1.64,42285.0,-6.81
86,091,Sussex County Public Schools,45520.0,47789.0,4.99,47745.0,-0.09
87,092,Tazewell County Public Schools,45520.0,45059.0,-1.01,44824.0,-0.52
88,093,Warren County Public Schools,43822.0,46127.0,5.26,44549.0,-3.42
89,094,Washington County Public Schools,42599.0,44822.0,5.22,44822.0,0.0
90,095,Westmoreland County Public Schools,43386.0,41974.0,-3.25,45898.0,9.35
91,096,Wise County Public Schools,44130.0,48974.0,10.98,44085.0,-9.98
92,097,Wythe County Public Schools,42717.0,44307.0,3.72,45310.0,2.26
93,098,York County Public Schools,48136.0,49800.0,3.46,49284.0,-1.04
94,101,Alexandria City Public Schools,68315.0,66413.0,-2.78,65772.0,-0.97
95,102,Bristol City Public Schools,43607.0,45040.0,3.29,43391.0,-3.66
96,103,Buena Vista City Public Schools,42461.0,41409.0,-2.48,42249.0,2.03
97,104,Charlottesville City Public Schools,52985.0,54095.0,2.09,56079.0,3.67
98,106,Colonial Heights City Public Schools,50158.0,51937.0,3.55,51867.0,-0.14
99,107,Covington City Public Schools,44710.0,42728.0,-4.43,43913.0,2.77
100,108,Danville City Public Schools,44196.0,46633.0,5.51,45414.0,-2.61
101,109,Falls Church City Public Schools,62875.0,63309.0,0.69,63925.0,0.97
102,110,Fredericksburg City Public Schools,46786.0,48148.0,2.91,46637.0,-3.14
103,111,Galax City Public Schools,42162.0,43609.0,3.43,43628.0,0.05
104,112,Hampton City Public Schools,38320.0,44340.0,15.71,44397.0,0.13
105,113,Harrisonburg City Public Schools,45659.0,46793.0,2.49,46423.0,-0.79
106,114,Hopewell City Public Schools,44687.0,46399.0,3.83,46605.0,0.44
107,115,Lynchburg City Public Schools,44858.0,46475.0,3.6,46009.0,-1.0
108,116,Martinsville City Public Schools,44312.0,42418.0,-4.27,42699.0,0.66
109,117,Newport News City Public Schools,45510.0,48938.0,7.53,49934.0,2.04
110,118,Norfolk City Public Schools,46161.0,48903.0,5.94,50431.0,3.13
111,119,Norton City Public Schools,44663.0,43931.0,-1.64,42671.0,-2.87
112,120,Petersburg City Public Schools,40797.0,39409.0,-3.4,41505.0,5.32
113,121,Portsmouth City Public Schools,36924.0,42270.0,14.48,50266.0,18.92
114,122,Radford City Public Schools,46423.0,49157.0,5.89,48018.0,-2.32
115,123,Richmond City Public Schools,48668.0,49403.0,1.51,49929.0,1.06
116,124,Roanoke City Public Schools,47244.0,43563.0,-7.79,37346.0,-14.27
117,126,Staunton City Public Schools,42661.0,43965.0,3.06,43980.0,0.04
118,127,Suffolk City Public Schools,48129.0,49964.0,3.81,50234.0,0.54
119,128,Virginia Beach City Public Schools,52407.0,53343.0,1.79,53519.0,0.33
120,130,Waynesboro City Public Schools,45476.0,46222.0,1.64,50667.0,9.62
121,131,Williamsburg Public Schools4,52545.0,53722.0,2.24,53681.0,-0.08
122,132,Winchester City Public Schools,48498.0,50404.0,3.93,51014.0,1.21
123,135,Franklin City Public Schools,44938.0,45787.0,1.89,44609.0,-2.57
124,136,Chesapeake City Public Schools,52885.0,54385.0,2.84,54858.0,0.87
125,137,Lexington City Public Schools,41900.0,47204.0,12.66,46989.0,-0.46
126,139,Salem City Public Schools,52085.0,53912.0,3.51,52081.0,-3.4
127,142,Poquoson City Public Schools,46574.0,48225.0,3.55,50391.0,4.49
128,143,Manassas City Public Schools,60455.0,63666.0,5.31,60903.0,-4.34
129,144,Manassas Park City Public Schools,60417.0,56429.0,-6.6,56508.0,0.14
130,202,Colonial Beach Public Schools,41032.0,42432.0,3.41,46322.0,9.17
131,207,West Point Public Schools,41731.0,39841.0,-4.53,44437.0,11.54
