,Division,Name,"FY 2013 
Actual Average Teacher Salary","FY 2014 
Actual Average Teacher Salary",FY 2013 to FY 2014 Percent Increase/ (Decrease),"FY 2015 
Budgeted Average Teacher Salary",FY 2014 to FY 2015 Percent Increase/ (Decrease)
23,025,Cumberland County Public Schools,45946.0,48069.0,4.62,51060.0,6.22
24,026,Dickenson County Public Schools,38960.0,38948.0,-0.03,40755.0,4.64
25,027,Dinwiddie County Public Schools,47078.0,47901.0,1.75,45625.0,-4.75
26,028,Essex County Public Schools,47325.0,45007.0,-4.9,45261.0,0.57
27,029,Fairfax County Public Schools2,63422.0,64580.0,1.83,67623.0,4.71
28,030,Fauquier County Public Schools,57743.0,56267.0,-2.56,56890.0,1.11
29,031,Floyd County Public Schools,43044.0,44747.0,3.96,45410.0,1.48
30,032,Fluvanna County Public Schools,49612.0,50524.0,1.84,51489.0,1.91
31,033,Franklin County Public Schools,43884.0,44974.0,2.48,45360.0,0.86
32,034,Frederick County Public Schools,49368.0,50689.0,2.68,52258.0,3.09
33,035,Giles County Public Schools,38762.0,40759.0,5.15,41113.0,0.87
34,036,Gloucester County Public Schools,48942.0,49567.0,1.28,49141.0,-0.86
35,037,Goochland County Public Schools,45314.0,48187.0,6.34,49032.0,1.75
36,038,Grayson County Public Schools,36427.0,37245.0,2.25,48517.0,30.27
37,039,Greene County Public Schools,44158.0,44856.0,1.58,48504.0,8.13
38,040,Greensville County Public Schools3,43966.0,46397.0,5.53,48514.0,4.56
39,041,Halifax County Public Schools,47241.0,38883.0,-17.69,48367.0,24.39
40,042,Hanover County Public Schools,48557.0,48334.0,-0.46,48444.0,0.23
41,043,Henrico County Public Schools,50594.0,50428.0,-0.33,50428.0,-0.0
42,044,Henry County Public Schools,44655.0,44957.0,0.68,44143.0,-1.81
43,045,Highland County Public Schools,45120.0,46255.0,2.52,49162.0,6.29
44,046,Isle Of Wight County Public Schools,54556.0,54956.0,0.73,54621.0,-0.61
45,048,King George County Public Schools,45465.0,47457.0,4.38,47570.0,0.24
46,049,King And Queen County Public Schools,47437.0,47586.0,0.31,47820.0,0.49
47,050,King William County Public Schools,44817.0,48618.0,8.48,50261.0,3.38
48,051,Lancaster County Public Schools,44682.0,47480.0,6.26,45910.0,-3.31
49,052,Lee County Public Schools,38138.0,39243.0,2.9,42049.0,7.15
50,053,Loudoun County Public Schools,60798.0,61485.0,1.13,61206.0,-0.45
51,054,Louisa County Public Schools,47144.0,48671.0,3.24,50457.0,3.67
52,055,Lunenburg County Public Schools,44865.0,44401.0,-1.03,45579.0,2.65
53,056,Madison County Public Schools,44429.0,44490.0,0.14,44601.0,0.25
54,057,Mathews County Public Schools,43168.0,44931.0,4.08,46054.0,2.5
55,058,Mecklenburg County Public Schools,43010.0,43750.0,1.72,43691.0,-0.14
56,059,Middlesex County Public Schools,43217.0,43881.0,1.54,41539.0,-5.34
57,060,Montgomery County Public Schools,45504.0,47338.0,4.03,48645.0,2.76
58,062,Nelson County Public Schools,48124.0,50967.0,5.91,50824.0,-0.28
59,063,New Kent County Public Schools,45079.0,46996.0,4.25,46415.0,-1.24
60,065,Northampton County Public Schools,37823.0,41427.0,9.53,41077.0,-0.84
61,066,Northumberland County Public Schools,47221.0,48024.0,1.7,47831.0,-0.4
62,067,Nottoway County Public Schools,47575.0,47793.0,0.46,47354.0,-0.92
63,068,Orange County Public Schools,48980.0,47465.0,-3.09,48540.0,2.27
64,069,Page County Public Schools,42983.0,43358.0,0.87,48855.0,12.68
65,070,Patrick County Public Schools,42543.0,42447.0,-0.22,44213.0,4.16
66,071,Pittsylvania County Public Schools,42260.0,40865.0,-3.3,41428.0,1.38
67,072,Powhatan County Public Schools,49789.0,51846.0,4.13,51631.0,-0.41
68,073,Prince Edward County Public Schools,45389.0,42916.0,-5.45,45088.0,5.06
69,074,Prince George County Public Schools,49469.0,51816.0,4.74,53551.0,3.35
70,075,Prince William County Public Schools,61863.0,62046.0,0.3,57552.0,-7.24
71,077,Pulaski County Public Schools,43784.0,45209.0,3.25,44030.0,-2.61
72,078,Rappahannock County Public Schools,49343.0,51519.0,4.41,47529.0,-7.74
73,079,Richmond County Public Schools,49492.0,49185.0,-0.62,47117.0,-4.2
74,080,Roanoke County Public Schools,50886.0,49968.0,-1.8,56517.0,13.11
75,081,Rockbridge County Public Schools,47363.0,45971.0,-2.94,47037.0,2.32
76,082,Rockingham County Public Schools,46585.0,47503.0,1.97,50062.0,5.39
77,083,Russell County Public Schools,37116.0,38804.0,4.55,39391.0,1.51
78,084,Scott County Public Schools,47555.0,45962.0,-3.35,44358.0,-3.49
79,085,Shenandoah County Public Schools,46751.0,46694.0,-0.12,51032.0,9.29
80,086,Smyth County Public Schools,44590.0,43259.0,-2.98,43383.0,0.29
81,087,Southampton County Public Schools,43509.0,43171.0,-0.78,46177.0,6.96
82,088,Spotsylvania County Public Schools,53725.0,53178.0,-1.02,49364.0,-7.17
83,089,Stafford County Public Schools,50864.0,53031.0,4.26,51227.0,-3.4
84,090,Surry County Public Schools,50813.0,50198.0,-1.21,51872.0,3.33
85,091,Sussex County Public Schools,51839.0,52978.0,2.2,52829.0,-0.28
86,092,Tazewell County Public Schools,42062.0,38762.0,-7.85,45759.0,18.05
87,093,Warren County Public Schools,48241.0,47916.0,-0.67,46922.0,-2.08
88,094,Washington County Public Schools,47059.0,47414.0,0.75,47357.0,-0.12
89,095,Westmoreland County Public Schools,44363.0,44675.0,0.7,44662.0,-0.03
90,096,Wise County Public Schools,45692.0,49693.0,8.76,46125.0,-7.18
91,097,Wythe County Public Schools,46890.0,47288.0,0.85,47904.0,1.3
92,098,York County Public Schools,48310.0,49883.0,3.26,51303.0,2.85
93,101,Alexandria City Public Schools,74682.0,72942.0,-2.33,75447.0,3.43
94,102,Bristol City Public Schools,46660.0,43926.0,-5.86,45811.0,4.29
95,103,Buena Vista City Public Schools,42528.0,40483.0,-4.81,38968.0,-3.74
96,104,Charlottesville City Public Schools,55114.0,54886.0,-0.41,56001.0,2.03
97,106,Colonial Heights City Public Schools,51501.0,51300.0,-0.39,50849.0,-0.88
98,107,Covington City Public Schools,49439.0,51141.0,3.44,57119.0,11.69
99,108,Danville City Public Schools,46948.0,47879.0,1.98,47194.0,-1.43
100,109,Falls Church City Public Schools,65583.0,66589.0,1.53,70956.0,6.56
101,110,Fredericksburg City Public Schools,47201.0,49493.0,4.86,53234.0,7.56
102,111,Galax City Public Schools,46993.0,46328.0,-1.42,46895.0,1.22
103,112,Hampton City Public Schools,45029.0,47516.0,5.52,44656.0,-6.02
104,113,Harrisonburg City Public Schools,44237.0,43974.0,-0.6,45260.0,2.92
105,114,Hopewell City Public Schools,46797.0,48013.0,2.6,49578.0,3.26
106,115,Lynchburg City Public Schools,41089.0,39037.0,-4.99,55991.0,43.43
107,116,Martinsville City Public Schools,44623.0,43210.0,-3.17,42398.0,-1.88
108,117,Newport News City Public Schools,48192.0,49682.0,3.09,51716.0,4.09
109,118,Norfolk City Public Schools,48929.0,49908.0,2.0,49636.0,-0.54
110,119,Norton City Public Schools,41039.0,41463.0,1.03,40255.0,-2.91
111,120,Petersburg City Public Schools,41139.0,42150.0,2.46,43625.0,3.5
112,121,Portsmouth City Public Schools,38183.0,38872.0,1.8,38705.0,-0.43
113,122,Radford City Public Schools,49967.0,50428.0,0.92,51424.0,1.97
114,123,Richmond City Public Schools,48921.0,50148.0,2.51,53144.0,5.97
115,124,Roanoke City Public Schools,47363.0,50509.0,6.64,52365.0,3.68
116,126,Staunton City Public Schools,43979.0,46730.0,6.26,49923.0,6.83
117,127,Suffolk City Public Schools,49158.0,49809.0,1.32,47290.0,-5.06
118,128,Virginia Beach City Public Schools,54875.0,56048.0,2.14,53833.0,-3.95
119,130,Waynesboro City Public Schools,45209.0,47484.0,5.03,47785.0,0.63
120,131,Williamsburg Public Schools4,52037.0,52920.0,1.7,51103.0,-3.43
121,132,Winchester City Public Schools,54404.0,53910.0,-0.91,54576.0,1.23
122,135,Franklin City Public Schools,44257.0,46430.0,4.91,48403.0,4.25
123,136,Chesapeake City Public Schools,54830.0,56484.0,3.02,56457.0,-0.05
124,137,Lexington City Public Schools,41025.0,39402.0,-3.96,40926.0,3.87
125,139,Salem City Public Schools,56207.0,55115.0,-1.94,57291.0,3.95
126,142,Poquoson City Public Schools,48113.0,46887.0,-2.55,46602.0,-0.61
127,143,Manassas City Public Schools,62347.0,62534.0,0.3,62546.0,0.02
128,144,Manassas Park City Public Schools,56323.0,58089.0,3.13,59229.0,1.96
129,202,Colonial Beach Public Schools,40116.0,41498.0,3.45,42620.0,2.7
130,207,West Point Public Schools,40911.0,37914.0,-7.33,40607.0,7.1
