,Division,Name,"FY 2013 
Actual Average Teacher Salary","FY 2014 
Actual Average Teacher Salary",FY 2013 to FY 2014 Percent Increase/ (Decrease),"FY 2015 
Budgeted Average Teacher Salary",FY 2014 to FY 2015 Percent Increase/ (Decrease)
0,002,Albemarle County Public Schools,53521.0,54586.0,1.99,55312.0,1.33
1,003,Alleghany County Public Schools,48254.0,47477.0,-1.61,45088.0,-5.03
2,004,Amelia County Public Schools,43357.0,49019.0,13.06,45049.0,-8.1
3,005,Amherst County Public Schools,44779.0,45527.0,1.67,45180.0,-0.76
4,006,Appomattox County Public Schools,40810.0,39904.0,-2.22,40366.0,1.16
5,007,Arlington County Public Schools,73626.0,73846.0,0.3,74737.0,1.21
6,008,Augusta County Public Schools,45519.0,47061.0,3.39,46801.0,-0.55
7,009,Bath County Public Schools,45628.0,46784.0,2.53,47686.0,1.93
8,010,Bedford County Public Schools1,42524.0,43653.0,2.65,43502.0,-0.35
9,011,Bland County Public Schools,41685.0,43775.0,5.02,43476.0,-0.68
10,012,Botetourt County Public Schools,48866.0,51189.0,4.75,50589.0,-1.17
11,013,Brunswick County Public Schools,41333.0,41712.0,0.92,41178.0,-1.28
12,014,Buchanan County Public Schools,38468.0,39840.0,3.57,39257.0,-1.46
13,015,Buckingham County Public Schools,42521.0,42193.0,-0.77,42211.0,0.04
14,016,Campbell County Public Schools,41998.0,43257.0,3.0,44547.0,2.98
15,017,Caroline County Public Schools,49820.0,47144.0,-5.37,48527.0,2.93
16,018,Carroll County Public Schools,42644.0,44042.0,3.28,45472.0,3.25
17,019,Charles City County Public Schools,39107.0,45722.0,16.92,45729.0,0.02
18,020,Charlotte County Public Schools,43874.0,44298.0,0.97,44574.0,0.62
19,021,Chesterfield County Public Schools,48673.0,50087.0,2.9,50666.0,1.16
20,022,Clarke County Public Schools,50808.0,50728.0,-0.16,52265.0,3.03
21,023,Craig County Public Schools,41255.0,45277.0,9.75,42468.0,-6.2
22,024,Culpeper County Public Schools,48667.0,48769.0,0.21,49348.0,1.19
