,Division,Name,"FY 2012 
Actual Average Teacher Salary","FY 2013 
Actual Average Teacher Salary",FY 2012 to FY 2013 Percent Increase/ (Decrease),"FY 2014 
Budgeted Average Teacher Salary",FY 2013 to FY 2014 Percent Increase/ (Decrease)
0,001,Accomack County Public Schools,38727.0,40596.0,4.83,41084.0,1.2
1,002,Albemarle County Public Schools,50959.0,53521.0,5.03,54116.0,1.11
2,003,Alleghany County Public Schools,47184.0,48254.0,2.27,48571.0,0.66
3,004,Amelia County Public Schools,45581.0,43357.0,-4.88,47630.0,9.85
4,005,Amherst County Public Schools,43609.0,44779.0,2.68,45622.0,1.88
5,006,Appomattox County Public Schools,40133.0,40810.0,1.69,40730.0,-0.19
6,007,Arlington County Public Schools,69185.0,73626.0,6.42,74810.0,1.61
7,008,Augusta County Public Schools,43669.0,45519.0,4.24,45815.0,0.65
8,009,Bath County Public Schools,43288.0,45628.0,5.41,46514.0,1.94
9,010,Bedford County Public Schools1,41599.0,42524.0,2.22,43957.0,3.37
10,011,Bland County Public Schools,42225.0,41685.0,-1.28,37429.0,-10.21
11,012,Botetourt County Public Schools,47622.0,48866.0,2.61,45882.0,-6.11
12,013,Brunswick County Public Schools,39404.0,41333.0,4.9,45426.0,9.9
13,014,Buchanan County Public Schools,40044.0,38468.0,-3.94,33811.0,-12.11
14,015,Buckingham County Public Schools,40797.0,42521.0,4.23,51876.0,22.0
15,016,Campbell County Public Schools,40884.0,41998.0,2.73,44285.0,5.44
16,017,Caroline County Public Schools,42523.0,49820.0,17.16,51400.0,3.17
17,018,Carroll County Public Schools,40442.0,42644.0,5.44,44576.0,4.53
18,019,Charles City County Public Schools,40408.0,39107.0,-3.22,42383.0,8.38
19,020,Charlotte County Public Schools,41057.0,43874.0,6.86,42016.0,-4.23
20,021,Chesterfield County Public Schools,47273.0,48673.0,2.96,49279.0,1.25
21,022,Clarke County Public Schools,46852.0,50808.0,8.44,54083.0,6.45
22,023,Craig County Public Schools,41442.0,41255.0,-0.45,42081.0,2.0
23,024,Culpeper County Public Schools,47252.0,48667.0,2.99,49312.0,1.33
24,025,Cumberland County Public Schools,44634.0,45946.0,2.94,45038.0,-1.98
25,026,Dickenson County Public Schools,42123.0,38960.0,-7.51,40440.0,3.8
26,027,Dinwiddie County Public Schools,45107.0,47078.0,4.37,48432.0,2.88
27,028,Essex County Public Schools,45899.0,47325.0,3.11,46511.0,-1.72
28,029,Fairfax County Public Schools2,63203.0,63422.0,0.35,65461.0,3.22
29,030,Fauquier County Public Schools,54975.0,57743.0,5.03,53224.0,-7.82
30,031,Floyd County Public Schools,42542.0,43044.0,1.18,45239.0,5.1
31,032,Fluvanna County Public Schools,50376.0,49612.0,-1.52,48734.0,-1.77
32,033,Franklin County Public Schools,43895.0,43884.0,-0.02,45486.0,3.65
33,034,Frederick County Public Schools,47490.0,49368.0,3.95,51272.0,3.86
34,035,Giles County Public Schools,38340.0,38762.0,1.1,39023.0,0.67
35,036,Gloucester County Public Schools,46108.0,48942.0,6.15,50048.0,2.26
36,037,Goochland County Public Schools,43212.0,45314.0,4.86,47574.0,4.99
37,038,Grayson County Public Schools,36507.0,36427.0,-0.22,44290.0,21.59
38,039,Greene County Public Schools,44959.0,44158.0,-1.78,45107.0,2.15
39,040,Greensville County Public Schools3,44913.0,43966.0,-2.11,46756.0,6.35
40,041,Halifax County Public Schools,41869.0,47241.0,12.83,43028.0,-8.92
41,042,Hanover County Public Schools,48174.0,48557.0,0.8,47884.0,-1.39
42,043,Henrico County Public Schools,51723.0,50594.0,-2.18,50739.0,0.29
43,044,Henry County Public Schools,43860.0,44655.0,1.81,46175.0,3.4
44,045,Highland County Public Schools,43734.0,45120.0,3.17,41867.0,-7.21
45,046,Isle Of Wight County Public Schools,53025.0,54556.0,2.89,54653.0,0.18
46,048,King George County Public Schools,47401.0,45465.0,-4.08,44096.0,-3.01
47,049,King And Queen County Public Schools,48784.0,47437.0,-2.76,43997.0,-7.25
48,050,King William County Public Schools,46382.0,44817.0,-3.38,46473.0,3.7
49,051,Lancaster County Public Schools,42685.0,44682.0,4.68,46098.0,3.17
50,052,Lee County Public Schools,40343.0,38138.0,-5.47,38802.0,1.74
51,053,Loudoun County Public Schools,60646.0,60798.0,0.25,62930.0,3.51
52,054,Louisa County Public Schools,47013.0,47144.0,0.28,47864.0,1.53
53,055,Lunenburg County Public Schools,47668.0,44865.0,-5.88,45564.0,1.56
54,056,Madison County Public Schools,43103.0,44429.0,3.08,45470.0,2.34
55,057,Mathews County Public Schools,40404.0,43168.0,6.84,44494.0,3.07
56,058,Mecklenburg County Public Schools,48805.0,43010.0,-11.87,39969.0,-7.07
57,059,Middlesex County Public Schools,42099.0,43217.0,2.66,41136.0,-4.81
58,060,Montgomery County Public Schools,46297.0,45504.0,-1.71,48076.0,5.65
59,062,Nelson County Public Schools,47432.0,48124.0,1.46,51462.0,6.94
60,063,New Kent County Public Schools,46128.0,45079.0,-2.27,46426.0,2.99
61,065,Northampton County Public Schools,36962.0,37823.0,2.33,38381.0,1.48
62,066,Northumberland County Public Schools,48748.0,47221.0,-3.13,49526.0,4.88
63,067,Nottoway County Public Schools,47509.0,47575.0,0.14,49226.0,3.47
64,068,Orange County Public Schools,45567.0,48980.0,7.49,48652.0,-0.67
65,069,Page County Public Schools,41014.0,42983.0,4.8,51756.0,20.41
66,070,Patrick County Public Schools,41441.0,42543.0,2.66,42803.0,0.61
67,071,Pittsylvania County Public Schools,41076.0,42260.0,2.88,43889.0,3.85
68,072,Powhatan County Public Schools,47646.0,49789.0,4.5,50887.0,2.21
69,073,Prince Edward County Public Schools,44127.0,45389.0,2.86,45982.0,1.31
70,074,Prince George County Public Schools,49658.0,49469.0,-0.38,51963.0,5.04
71,075,Prince William County Public Schools,61855.0,61863.0,0.01,56725.0,-8.3
72,077,Pulaski County Public Schools,42420.0,43784.0,3.22,45391.0,3.67
73,078,Rappahannock County Public Schools,45941.0,49343.0,7.41,49058.0,-0.58
74,079,Richmond County Public Schools,47626.0,49492.0,3.92,51285.0,3.62
75,080,Roanoke County Public Schools,48267.0,50886.0,5.43,52668.0,3.5
76,081,Rockbridge County Public Schools,45216.0,47363.0,4.75,48404.0,2.2
77,082,Rockingham County Public Schools,45039.0,46585.0,3.43,48214.0,3.5
78,083,Russell County Public Schools,36271.0,37116.0,2.33,38606.0,4.02
79,084,Scott County Public Schools,45582.0,47555.0,4.33,47589.0,0.07
80,085,Shenandoah County Public Schools,44177.0,46751.0,5.83,50139.0,7.25
81,086,Smyth County Public Schools,43590.0,44590.0,2.29,42886.0,-3.82
82,087,Southampton County Public Schools,44012.0,43509.0,-1.14,45329.0,4.18
83,088,Spotsylvania County Public Schools,51373.0,53725.0,4.58,52936.0,-1.47
84,089,Stafford County Public Schools,53038.0,50864.0,-4.1,50858.0,-0.01
85,090,Surry County Public Schools,50020.0,50813.0,1.59,42217.0,-16.92
86,091,Sussex County Public Schools,51080.0,51839.0,1.49,53569.0,3.34
87,092,Tazewell County Public Schools,42846.0,42062.0,-1.83,41828.0,-0.56
88,093,Warren County Public Schools,45096.0,48241.0,6.97,47285.0,-1.98
89,094,Washington County Public Schools,44205.0,47059.0,6.46,47953.0,1.9
90,095,Westmoreland County Public Schools,41794.0,44363.0,6.15,41340.0,-6.82
91,096,Wise County Public Schools,47487.0,45692.0,-3.78,44843.0,-1.86
92,097,Wythe County Public Schools,44752.0,46890.0,4.78,48606.0,3.66
93,098,York County Public Schools,48101.0,48310.0,0.43,50966.0,5.5
94,101,Alexandria City Public Schools,70696.0,74682.0,5.64,70294.0,-5.88
95,102,Bristol City Public Schools,45342.0,46660.0,2.91,47124.0,1.0
96,103,Buena Vista City Public Schools,41397.0,42528.0,2.73,43229.0,1.65
97,104,Charlottesville City Public Schools,52790.0,55114.0,4.4,56454.0,2.43
98,106,Colonial Heights City Public Schools,50451.0,51501.0,2.08,52356.0,1.66
99,107,Covington City Public Schools,51412.0,49439.0,-3.84,48199.0,-2.51
100,108,Danville City Public Schools,45898.0,46948.0,2.29,45969.0,-2.09
101,109,Falls Church City Public Schools,63273.0,65583.0,3.65,67202.0,2.47
102,110,Fredericksburg City Public Schools,45704.0,47201.0,3.28,47152.0,-0.1
103,111,Galax City Public Schools,45100.0,46993.0,4.2,48124.0,2.41
104,112,Hampton City Public Schools,45137.0,45029.0,-0.24,44103.0,-2.06
105,113,Harrisonburg City Public Schools,45439.0,44237.0,-2.65,45170.0,2.11
106,114,Hopewell City Public Schools,45013.0,46797.0,3.96,46995.0,0.42
107,115,Lynchburg City Public Schools,41960.0,41089.0,-2.08,40966.0,-0.3
108,116,Martinsville City Public Schools,42969.0,44623.0,3.85,45141.0,1.16
109,117,Newport News City Public Schools,48228.0,48192.0,-0.07,48982.0,1.64
110,118,Norfolk City Public Schools,48967.0,48929.0,-0.08,50469.0,3.15
111,119,Norton City Public Schools,40934.0,41039.0,0.26,40985.0,-0.13
112,120,Petersburg City Public Schools,40644.0,41139.0,1.22,42348.0,2.94
113,121,Portsmouth City Public Schools,36517.0,38183.0,4.56,36509.0,-4.38
114,122,Radford City Public Schools,48016.0,49967.0,4.06,52674.0,5.42
115,123,Richmond City Public Schools,50485.0,48921.0,-3.1,49802.0,1.8
116,124,Roanoke City Public Schools,48039.0,47363.0,-1.41,48870.0,3.18
117,126,Staunton City Public Schools,41588.0,43979.0,5.75,44157.0,0.4
118,127,Suffolk City Public Schools,48516.0,49158.0,1.32,46668.0,-5.06
119,128,Virginia Beach City Public Schools,53201.0,54875.0,3.15,53533.0,-2.45
120,130,Waynesboro City Public Schools,44929.0,45209.0,0.62,48702.0,7.73
121,131,Williamsburg Public Schools4,51572.0,52037.0,0.9,52428.0,0.75
122,132,Winchester City Public Schools,51256.0,54404.0,6.14,49831.0,-8.41
123,135,Franklin City Public Schools,45159.0,44257.0,-2.0,48278.0,9.09
124,136,Chesapeake City Public Schools,53043.0,54830.0,3.37,55704.0,1.59
125,137,Lexington City Public Schools,45733.0,41025.0,-10.29,42285.0,3.07
126,139,Salem City Public Schools,54493.0,56207.0,3.15,56350.0,0.25
127,142,Poquoson City Public Schools,45984.0,48113.0,4.63,49097.0,2.04
128,143,Manassas City Public Schools,63340.0,62347.0,-1.57,66304.0,6.35
129,144,Manassas Park City Public Schools,56934.0,56323.0,-1.07,57003.0,1.21
130,202,Colonial Beach Public Schools,38843.0,40116.0,3.28,39275.0,-2.1
131,207,West Point Public Schools,41751.0,40911.0,-2.01,44502.0,8.78
