,Division,Name,"FY 2014 
Actual Average Teacher Salary","FY 2015 
Actual Average Teacher Salary",FY 2014 to FY 2015 Percent Increase/ (Decrease),"FY 2016 
Budgeted Average Teacher Salary",FY 2015 to FY 2016 Percent Increase/ (Decrease)
0,1,Accomack County Public Schools,40949.0,43712.0,6.75,44385.0,1.54
1,2,Albemarle County Public Schools,54586.0,54449.0,-0.25,54907.0,0.84
2,3,Alleghany County Public Schools,47477.0,48507.0,2.17,49427.0,1.9
3,4,Amelia County Public Schools,49019.0,49150.0,0.27,49450.0,0.61
4,5,Amherst County Public Schools,45527.0,45111.0,-0.91,46810.0,3.77
5,6,Appomattox County Public Schools,39904.0,38949.0,-2.39,39559.0,1.57
6,7,Arlington County Public Schools,73846.0,74534.0,0.93,74613.0,0.11
7,8,Augusta County Public Schools,47061.0,48602.0,3.27,47897.0,-1.45
8,9,Bath County Public Schools,46784.0,48410.0,3.48,47750.0,-1.36
9,10,Bedford County Public Schools,43653.0,40986.0,-6.11,46640.0,13.79
10,11,Bland County Public Schools,43775.0,42605.0,-2.67,45024.0,5.68
11,12,Botetourt County Public Schools,51189.0,51293.0,0.2,48861.0,-4.74
12,13,Brunswick County Public Schools,41712.0,40223.0,-3.57,40969.0,1.86
13,14,Buchanan County Public Schools,39840.0,41429.0,3.99,35834.0,-13.51
14,15,Buckingham County Public Schools,42193.0,41477.0,-1.7,43747.0,5.47
15,16,Campbell County Public Schools,43257.0,43305.0,0.11,45320.0,4.65
16,17,Caroline County Public Schools,47144.0,48630.0,3.15,47166.0,-3.01
17,18,Carroll County Public Schools,44042.0,45563.0,3.45,47656.0,4.59
18,19,Charles City County Public Schools,45722.0,43666.0,-4.5,44350.0,1.57
19,20,Charlotte County Public Schools,44298.0,46244.0,4.39,44500.0,-3.77
20,21,Chesterfield County Public Schools,50087.0,50281.0,0.39,49065.0,-2.42
21,22,Clarke County Public Schools,50728.0,50152.0,-1.13,50790.0,1.27
22,23,Craig County Public Schools,45277.0,41580.0,-8.17,37974.0,-8.67
23,24,Culpeper County Public Schools,48769.0,49318.0,1.13,49353.0,0.07
24,25,Cumberland County Public Schools,48069.0,48098.0,0.06,47309.0,-1.64
25,26,Dickenson County Public Schools,38948.0,39429.0,1.24,40568.0,2.89
26,27,Dinwiddie County Public Schools,47901.0,47890.0,-0.02,52127.0,8.85
27,28,Essex County Public Schools,45007.0,46012.0,2.23,47681.0,3.63
28,29,Fairfax County Public Schools¹,64580.0,64924.0,0.53,68687.0,5.8
29,30,Fauquier County Public Schools,56267.0,53705.0,-4.55,53960.0,0.47
30,31,Floyd County Public Schools,44747.0,45327.0,1.3,45972.0,1.42
31,32,Fluvanna County Public Schools,50524.0,52409.0,3.73,52009.0,-0.76
32,33,Franklin County Public Schools,44974.0,47032.0,4.58,47269.0,0.5
33,34,Frederick County Public Schools,50689.0,51503.0,1.61,54851.0,6.5
34,35,Giles County Public Schools,40759.0,41061.0,0.74,42574.0,3.69
35,36,Gloucester County Public Schools,49567.0,49117.0,-0.91,49615.0,1.01
36,37,Goochland County Public Schools,48187.0,49275.0,2.26,49469.0,0.39
37,38,Grayson County Public Schools,37245.0,37643.0,1.07,33974.0,-9.75
38,39,Greene County Public Schools,44856.0,47375.0,5.62,50330.0,6.24
39,40,Greensville County Public Schools²,46397.0,47571.0,2.53,50072.0,5.26
40,41,Halifax County Public Schools,38883.0,38503.0,-0.98,47969.0,24.59
41,42,Hanover County Public Schools,48334.0,49795.0,3.02,50111.0,0.63
42,43,Henrico County Public Schools,50428.0,50050.0,-0.75,50944.0,1.79
43,44,Henry County Public Schools,44957.0,46152.0,2.66,46763.0,1.32
44,45,Highland County Public Schools,46255.0,48785.0,5.47,50292.0,3.09
45,46,Isle Of Wight County Public Schools,54956.0,54801.0,-0.28,55110.0,0.56
46,48,King George County Public Schools,47457.0,48221.0,1.61,48769.0,1.14
47,49,King And Queen County Public Schools,47586.0,47285.0,-0.63,49167.0,3.98
48,50,King William County Public Schools,48618.0,49740.0,2.31,49691.0,-0.1
49,51,Lancaster County Public Schools,47480.0,45972.0,-3.18,44244.0,-3.76
50,52,Lee County Public Schools,39243.0,41757.0,6.41,42325.0,1.36
51,53,Loudoun County Public Schools,61485.0,64284.0,4.55,63553.0,-1.14
52,54,Louisa County Public Schools,48671.0,50016.0,2.76,46986.0,-6.06
53,55,Lunenburg County Public Schools,44401.0,44658.0,0.58,45328.0,1.5
54,56,Madison County Public Schools,44490.0,42804.0,-3.79,45671.0,6.7
55,57,Mathews County Public Schools,44931.0,43299.0,-3.63,44109.0,1.87
56,58,Mecklenburg County Public Schools,43750.0,42899.0,-1.94,42299.0,-1.4
57,59,Middlesex County Public Schools,43881.0,42996.0,-2.02,46031.0,7.06
58,60,Montgomery County Public Schools,47338.0,49605.0,4.79,47938.0,-3.36
59,62,Nelson County Public Schools,50967.0,51207.0,0.47,48900.0,-4.5
60,63,New Kent County Public Schools,46996.0,47282.0,0.61,47133.0,-0.32
61,65,Northampton County Public Schools,41427.0,41883.0,1.1,45367.0,8.32
62,66,Northumberland County Public Schools,48024.0,47630.0,-0.82,48260.0,1.32
63,67,Nottoway County Public Schools,47793.0,46321.0,-3.08,46411.0,0.19
64,68,Orange County Public Schools,47465.0,49388.0,4.05,51561.0,4.4
65,69,Page County Public Schools,43358.0,44398.0,2.4,45269.0,1.96
66,70,Patrick County Public Schools,42447.0,43147.0,1.65,43498.0,0.81
67,71,Pittsylvania County Public Schools,40865.0,43074.0,5.41,42653.0,-0.98
68,72,Powhatan County Public Schools,51846.0,52829.0,1.9,53839.0,1.91
69,73,Prince Edward County Public Schools,42916.0,41386.0,-3.56,44977.0,8.68
70,74,Prince George County Public Schools,51816.0,51766.0,-0.1,53353.0,3.07
71,75,Prince William County Public Schools,62046.0,63521.0,2.38,61667.0,-2.92
72,77,Pulaski County Public Schools,45209.0,44823.0,-0.85,43805.0,-2.27
73,78,Rappahannock County Public Schools,51519.0,51609.0,0.17,54314.0,5.24
74,79,Richmond County Public Schools,49185.0,48865.0,-0.65,49071.0,0.42
75,80,Roanoke County Public Schools,49968.0,49719.0,-0.5,51736.0,4.06
76,81,Rockbridge County Public Schools,45971.0,47534.0,3.4,48485.0,2.0
77,82,Rockingham County Public Schools,47503.0,48941.0,3.03,50032.0,2.23
78,83,Russell County Public Schools,38804.0,39079.0,0.71,40356.0,3.27
79,84,Scott County Public Schools,45962.0,46362.0,0.87,45029.0,-2.88
80,85,Shenandoah County Public Schools,46694.0,47424.0,1.56,51329.0,8.23
81,86,Smyth County Public Schools,43259.0,43223.0,-0.08,43532.0,0.72
82,87,Southampton County Public Schools,43171.0,44819.0,3.82,46056.0,2.76
83,88,Spotsylvania County Public Schools,53178.0,54212.0,1.94,56118.0,3.52
84,89,Stafford County Public Schools,53031.0,53303.0,0.51,51930.0,-2.58
85,90,Surry County Public Schools,50198.0,51163.0,1.92,48453.0,-5.3
86,91,Sussex County Public Schools,52978.0,49901.0,-5.81,62639.0,25.53
87,92,Tazewell County Public Schools,38762.0,37499.0,-3.26,34986.0,-6.7
88,93,Warren County Public Schools,47916.0,47289.0,-1.31,47164.0,-0.26
89,94,Washington County Public Schools,47414.0,47751.0,0.71,47812.0,0.13
90,95,Westmoreland County Public Schools,44675.0,45297.0,1.39,45100.0,-0.43
91,96,Wise County Public Schools,49693.0,47463.0,-4.49,39728.0,-16.3
92,97,Wythe County Public Schools,47288.0,46744.0,-1.15,47161.0,0.89
93,98,York County Public Schools,49883.0,51247.0,2.73,52531.0,2.51
94,101,Alexandria City Public Schools,72942.0,73675.0,1.0,75604.0,2.62
95,102,Bristol City Public Schools,43926.0,42972.0,-2.17,48078.0,11.88
96,103,Buena Vista City Public Schools,40483.0,40131.0,-0.87,41979.0,4.6
97,104,Charlottesville City Public Schools,54886.0,56214.0,2.42,57311.0,1.95
98,106,Colonial Heights City Public Schools,51300.0,50153.0,-2.24,50464.0,0.62
99,107,Covington City Public Schools,51141.0,48040.0,-6.06,51109.0,6.39
100,108,Danville City Public Schools,47879.0,47712.0,-0.35,47239.0,-0.99
101,109,Falls Church City Public Schools,66589.0,69686.0,4.65,75564.0,8.43
102,110,Fredericksburg City Public Schools,49493.0,51498.0,4.05,52655.0,2.25
103,111,Galax City Public Schools,46328.0,47259.0,2.01,48105.0,1.79
104,112,Hampton City Public Schools,47516.0,47413.0,-0.22,44662.0,-5.8
105,113,Harrisonburg City Public Schools,43974.0,43616.0,-0.81,43990.0,0.86
106,114,Hopewell City Public Schools,48013.0,45443.0,-5.35,52017.0,14.47
107,115,Lynchburg City Public Schools,39037.0,47337.0,21.26,74461.0,57.3
108,116,Martinsville City Public Schools,43210.0,46839.0,8.4,48345.0,3.22
109,117,Newport News City Public Schools,49682.0,50219.0,1.08,51148.0,1.85
110,118,Norfolk City Public Schools,49908.0,48118.0,-3.59,48955.0,1.74
111,119,Norton City Public Schools,41463.0,39660.0,-4.35,39390.0,-0.68
112,120,Petersburg City Public Schools,42150.0,42814.0,1.58,42858.0,0.1
113,121,Portsmouth City Public Schools,38872.0,51576.0,32.68,50100.0,-2.86
114,122,Radford City Public Schools,50428.0,50288.0,-0.28,50720.0,0.86
115,123,Richmond City Public Schools,50148.0,50522.0,0.75,53778.0,6.44
116,124,Roanoke City Public Schools,50509.0,47845.0,-5.27,46538.0,-2.73
117,126,Staunton City Public Schools,46730.0,46208.0,-1.12,49002.0,6.05
118,127,Suffolk City Public Schools,49809.0,51375.0,3.14,50611.0,-1.49
119,128,Virginia Beach City Public Schools,56048.0,56128.0,0.14,55544.0,-1.04
120,130,Waynesboro City Public Schools,47484.0,44594.0,-6.09,49660.0,11.36
121,131,Williamsburg Public Schools³,52920.0,54554.0,3.09,53123.0,-2.62
122,132,Winchester City Public Schools,53910.0,54376.0,0.86,54598.0,0.41
123,135,Franklin City Public Schools,46430.0,45592.0,-1.8,39625.0,-13.09
124,136,Chesapeake City Public Schools,56484.0,56156.0,-0.58,57078.0,1.64
125,137,Lexington City Public Schools,39402.0,40127.0,1.84,41889.0,4.39
126,139,Salem City Public Schools,55115.0,55353.0,0.43,59420.0,7.35
127,142,Poquoson City Public Schools,46887.0,48519.0,3.48,49523.0,2.07
128,143,Manassas City Public Schools,62534.0,64124.0,2.54,67333.0,5.0
129,144,Manassas Park City Public Schools,58089.0,58942.0,1.47,62097.0,5.35
130,202,Colonial Beach Public Schools,41498.0,46141.0,11.19,47266.0,2.44
131,207,West Point Public Schools,37914.0,39637.0,4.55,40826.0,3.0
