,Division,Name,"FY 2010 
Actual Average Teacher Salary","FY 2011 
Actual Average Teacher Salary",FY 2010 to FY 2011 Percent Increase/ (Decrease),"FY 2012 
Budgeted Average Teacher Salary",FY 2011 to FY 2012 Percent Increase/ (Decrease)
77,083,Russell County Public Schools,39030.0,38884.0,-0.37,39388.0,1.3
78,084,Scott County Public Schools,44267.0,45500.0,2.79,46638.0,2.5
79,085,Shenandoah County Public Schools,44790.0,45115.0,0.73,44441.0,-1.49
80,086,Smyth County Public Schools,43483.0,43453.0,-0.07,41887.0,-3.6
81,087,Southampton County Public Schools,44069.0,43537.0,-1.21,44699.0,2.67
82,088,Spotsylvania County Public Schools,51964.0,51491.0,-0.91,51498.0,0.01
83,089,Stafford County Public Schools,52591.0,53241.0,1.24,53947.0,1.33
84,090,Surry County Public Schools,47439.0,47645.0,0.43,45540.0,-4.42
85,091,Sussex County Public Schools,49077.0,49262.0,0.38,47527.0,-3.52
86,092,Tazewell County Public Schools,44508.0,43660.0,-1.91,40567.0,-7.08
87,093,Warren County Public Schools,47500.0,45960.0,-3.24,39861.0,-13.27
88,094,Washington County Public Schools,44515.0,44484.0,-0.07,44548.0,0.14
89,095,Westmoreland County Public Schools,42170.0,42212.0,0.1,43392.0,2.8
90,096,Wise County Public Schools,49268.0,47742.0,-3.1,39422.0,-17.43
91,097,Wythe County Public Schools,44331.0,43160.0,-2.64,46674.0,8.14
92,098,York County Public Schools,49341.0,48831.0,-1.03,48985.0,0.32
93,101,Alexandria City Public Schools,67239.0,70183.0,4.38,67747.0,-3.47
94,102,Bristol City Public Schools,44864.0,42672.0,-4.89,44327.0,3.88
95,103,Buena Vista City Public Schools,39185.0,40793.0,4.1,39430.0,-3.34
96,104,Charlottesville City Public Schools,54226.0,52660.0,-2.89,53525.0,1.64
97,106,Colonial Heights City Public Schools,51529.0,51880.0,0.68,50997.0,-1.7
98,107,Covington City Public Schools,48038.0,50039.0,4.17,48679.0,-2.72
99,108,Danville City Public Schools,46970.0,46586.0,-0.82,45258.0,-2.85
100,109,Falls Church City Public Schools,63020.0,62956.0,-0.1,63897.0,1.49
101,110,Fredericksburg City Public Schools,46944.0,46035.0,-1.94,46351.0,0.69
102,111,Galax City Public Schools,43821.0,43379.0,-1.01,44335.0,2.2
103,112,Hampton City Public Schools,44616.0,44205.0,-0.92,43985.0,-0.5
104,113,Harrisonburg City Public Schools,46253.0,45474.0,-1.68,45538.0,0.14
105,114,Hopewell City Public Schools,45725.0,45360.0,-0.8,45397.0,0.08
106,115,Lynchburg City Public Schools,48050.0,46213.0,-3.82,46671.0,0.99
107,116,Martinsville City Public Schools,42803.0,43504.0,1.64,42657.0,-1.95
108,117,Newport News City Public Schools,45842.0,47009.0,2.55,47473.0,0.99
109,118,Norfolk City Public Schools,48058.0,48711.0,1.36,50653.0,3.99
110,119,Norton City Public Schools,44528.0,44113.0,-0.93,40623.0,-7.91
111,120,Petersburg City Public Schools,40316.0,45307.0,12.38,45514.0,0.46
112,121,Portsmouth City Public Schools,44450.0,36268.0,-18.41,53090.0,46.38
113,122,Radford City Public Schools,49489.0,48813.0,-1.37,51107.0,4.7
114,123,Richmond City Public Schools,49395.0,48345.0,-2.13,48890.0,1.13
115,124,Roanoke City Public Schools,38723.0,44425.0,14.73,36078.0,-18.79
116,126,Staunton City Public Schools,44157.0,44839.0,1.55,43594.0,-2.78
117,127,Suffolk City Public Schools,50130.0,49280.0,-1.7,49288.0,0.02
118,128,Virginia Beach City Public Schools,52710.0,52732.0,0.04,52752.0,0.04
119,130,Waynesboro City Public Schools,43188.0,43048.0,-0.32,42576.0,-1.1
120,131,Williamsburg Public Schools4,53754.0,51923.0,-3.41,49039.0,-5.55
121,132,Winchester City Public Schools,47541.0,50170.0,5.53,50210.0,0.08
122,135,Franklin City Public Schools,44111.0,44459.0,0.79,47557.0,6.97
123,136,Chesapeake City Public Schools,52514.0,54548.0,3.87,53158.0,-2.55
124,137,Lexington City Public Schools,41937.0,41829.0,-0.26,43057.0,2.94
125,139,Salem City Public Schools,53218.0,53186.0,-0.06,53396.0,0.4
126,142,Poquoson City Public Schools,47166.0,46396.0,-1.63,44172.0,-4.79
127,143,Manassas City Public Schools,62886.0,61950.0,-1.49,62425.0,0.77
128,144,Manassas Park City Public Schools,56322.0,56230.0,-0.16,55961.0,-0.48
129,202,Colonial Beach Public Schools,43090.0,41592.0,-3.48,35063.0,-15.7
130,207,West Point Public Schools,42581.0,41721.0,-2.02,43670.0,4.67
