,Division,Name,"FY 2007 
Actual Average Teacher Salary","FY 2008
Actual Average Teacher Salary",FY 2007 to FY 2008 Percent Increase/ (Decrease),"FY 2009 
Budgeted Average Teacher Salary",FY 2008 to FY 2009 Percent Increase/ (Decrease)
100,108,Danville City Public Schools,43283.0,44196.0,2.11,45534.0,3.03
101,109,Falls Church City Public Schools,61887.0,62875.0,1.6,65729.0,4.54
102,110,Fredericksburg City Public Schools,44509.0,46786.0,5.12,49407.0,5.6
103,111,Galax City Public Schools,41090.0,42162.0,2.61,42859.0,1.65
104,112,Hampton City Public Schools,37594.0,38320.0,1.93,40414.0,5.46
105,113,Harrisonburg City Public Schools,45195.0,45659.0,1.03,45303.0,-0.78
106,114,Hopewell City Public Schools,42378.0,44687.0,5.45,46647.0,4.39
107,115,Lynchburg City Public Schools,44702.0,44858.0,0.35,45988.0,2.52
108,116,Martinsville City Public Schools,34465.0,44312.0,28.57,42344.0,-4.44
109,117,Newport News City Public Schools,44735.0,45510.0,1.73,48178.0,5.86
110,118,Norfolk City Public Schools,45288.0,46161.0,1.93,39727.0,-13.94
111,119,Norton City Public Schools,43339.0,44663.0,3.05,42539.0,-4.75
112,120,Petersburg City Public Schools,38998.0,40797.0,4.61,40743.0,-0.13
113,121,Portsmouth City Public Schools,34924.0,36924.0,5.73,52114.0,41.14
114,122,Radford City Public Schools,45498.0,46423.0,2.03,53495.0,15.23
115,123,Richmond City Public Schools,46845.0,48668.0,3.89,50480.0,3.72
116,124,Roanoke City Public Schools,47392.0,47244.0,-0.31,41890.0,-11.33
117,126,Staunton City Public Schools,41087.0,42661.0,3.83,43249.0,1.38
118,127,Suffolk City Public Schools,47447.0,48129.0,1.44,49783.0,3.44
119,128,Virginia Beach City Public Schools,51102.0,52407.0,2.55,54435.0,3.87
120,130,Waynesboro City Public Schools,44056.0,45476.0,3.22,47912.0,5.36
121,131,Williamsburg Public Schools4,52367.0,52545.0,0.34,52964.0,0.8
122,132,Winchester City Public Schools,45850.0,48498.0,5.77,48886.0,0.8
123,135,Franklin City Public Schools,43610.0,44938.0,3.05,47243.0,5.13
124,136,Chesapeake City Public Schools,51348.0,52885.0,2.99,54914.0,3.84
125,137,Lexington City Public Schools,44251.0,41900.0,-5.31,43439.0,3.67
126,139,Salem City Public Schools,51211.0,52085.0,1.71,57421.0,10.24
127,142,Poquoson City Public Schools,43809.0,46574.0,6.31,43466.0,-6.67
128,143,Manassas City Public Schools,59709.0,60455.0,1.25,65352.0,8.1
129,144,Manassas Park City Public Schools,58247.0,60417.0,3.73,61479.0,1.76
130,202,Colonial Beach Public Schools,39792.0,41032.0,3.12,50051.0,21.98
131,207,West Point Public Schools,41071.0,41731.0,1.61,42827.0,2.63
