,Division,Name,"FY 2007 
Actual Average Teacher Salary","FY 2008
Actual Average Teacher Salary",FY 2007 to FY 2008 Percent Increase/ (Decrease),"FY 2009 
Budgeted Average Teacher Salary",FY 2008 to FY 2009 Percent Increase/ (Decrease)
0,001,Accomack County Public Schools,39973.0,39576.0,-0.99,40315.0,1.87
1,002,Albemarle County Public Schools,49580.0,51223.0,3.32,54711.0,6.81
2,003,Alleghany County Public Schools,44095.0,45580.0,3.37,47742.0,4.74
3,004,Amelia County Public Schools,40442.0,44349.0,9.66,43539.0,-1.83
4,005,Amherst County Public Schools,41935.0,42816.0,2.1,41469.0,-3.15
5,006,Appomattox County Public Schools,38755.0,41028.0,5.87,42150.0,2.73
6,007,Arlington County Public Schools,64447.0,67742.0,5.11,68995.0,1.85
7,008,Augusta County Public Schools,43075.0,44062.0,2.29,45309.0,2.83
8,009,Bath County Public Schools,42259.0,42037.0,-0.52,41277.0,-1.81
9,010,Bedford County Public Schools1,39694.0,40827.0,2.85,42314.0,3.64
10,011,Bland County Public Schools,37863.0,39761.0,5.01,37180.0,-6.49
11,012,Botetourt County Public Schools,46561.0,47904.0,2.89,48200.0,0.62
12,013,Brunswick County Public Schools,37843.0,38596.0,1.99,42392.0,9.84
13,014,Buchanan County Public Schools,38686.0,39521.0,2.16,40813.0,3.27
14,015,Buckingham County Public Schools,39827.0,42097.0,5.7,45152.0,7.26
15,016,Campbell County Public Schools,41324.0,42204.0,2.13,44969.0,6.55
16,017,Caroline County Public Schools,43807.0,43301.0,-1.15,45297.0,4.61
17,018,Carroll County Public Schools,37024.0,36938.0,-0.23,37196.0,0.7
18,019,Charles City County Public Schools,40530.0,38511.0,-4.98,39347.0,2.17
19,020,Charlotte County Public Schools,40530.0,42040.0,3.73,43859.0,4.33
20,021,Chesterfield County Public Schools,46486.0,48180.0,3.64,49080.0,1.87
21,022,Clarke County Public Schools5,46433.0,45402.0,-2.22,47298.0,4.18
22,023,Craig County Public Schools,43279.0,42430.0,-1.96,43009.0,1.37
23,024,Culpeper County Public Schools,44565.0,48348.0,8.49,46081.0,-4.69
24,025,Cumberland County Public Schools,39714.0,39108.0,-1.53,41562.0,6.27
25,026,Dickenson County Public Schools,37146.0,39957.0,7.57,43333.0,8.45
26,027,Dinwiddie County Public Schools,44461.0,45181.0,1.62,47564.0,5.28
27,028,Essex County Public Schools,44821.0,42812.0,-4.48,44320.0,3.52
28,029,Fairfax County Public Schools2,60593.0,62458.0,3.08,65394.0,4.7
29,030,Fauquier County Public Schools,53055.0,55179.0,4.0,56137.0,1.74
30,031,Floyd County Public Schools,41891.0,41896.0,0.01,43127.0,2.94
31,032,Fluvanna County Public Schools,49313.0,50991.0,3.4,54432.0,6.75
32,033,Franklin County Public Schools,43549.0,43837.0,0.66,45958.0,4.84
33,034,Frederick County Public Schools,45481.0,47085.0,3.53,47779.0,1.47
34,035,Giles County Public Schools,39804.0,40903.0,2.76,41953.0,2.57
35,036,Gloucester County Public Schools,44543.0,45857.0,2.95,47680.0,3.98
36,037,Goochland County Public Schools,42544.0,45358.0,6.62,43170.0,-4.82
37,038,Grayson County Public Schools,36708.0,37108.0,1.09,41802.0,12.65
38,039,Greene County Public Schools,39212.0,36056.0,-8.05,39256.0,8.88
39,040,Greensville County Public Schools3,42103.0,43318.0,2.89,46249.0,6.76
40,041,Halifax County Public Schools,39665.0,40518.0,2.15,42081.0,3.86
41,042,Hanover County Public Schools,44609.0,45002.0,0.88,47619.0,5.82
42,043,Henrico County Public Schools,46833.0,48776.0,4.15,46900.0,-3.85
43,044,Henry County Public Schools,38302.0,40181.0,4.91,43849.0,9.13
44,045,Highland County Public Schools,41206.0,40337.0,-2.11,41943.0,3.98
45,046,Isle Of Wight County Public Schools,45989.0,49741.0,8.16,52390.0,5.33
46,048,King George County Public Schools,44936.0,46172.0,2.75,47981.0,3.92
47,049,King And Queen County Public Schools,40744.0,42565.0,4.47,45843.0,7.7
48,050,King William County Public Schools,42471.0,45314.0,6.69,43264.0,-4.52
49,051,Lancaster County Public Schools,42559.0,44186.0,3.82,44643.0,1.04
50,052,Lee County Public Schools,41701.0,40867.0,-2.0,41314.0,1.09
51,053,Loudoun County Public Schools,60476.0,57518.0,-4.89,58555.0,1.8
52,054,Louisa County Public Schools,47347.0,48304.0,2.02,49855.0,3.21
53,055,Lunenburg County Public Schools,42647.0,40124.0,-5.92,41390.0,3.15
54,056,Madison County Public Schools,42577.0,44253.0,3.94,45099.0,1.91
55,057,Mathews County Public Schools,41041.0,39263.0,-4.33,45564.0,16.05
56,058,Mecklenburg County Public Schools,40432.0,40632.0,0.5,41866.0,3.04
57,059,Middlesex County Public Schools,38979.0,39666.0,1.76,41039.0,3.46
58,060,Montgomery County Public Schools,42182.0,43672.0,3.53,46811.0,7.19
59,062,Nelson County Public Schools,42627.0,44422.0,4.21,45225.0,1.81
60,063,New Kent County Public Schools,41188.0,43297.0,5.12,45533.0,5.16
61,065,Northampton County Public Schools,42670.0,38407.0,-9.99,40357.0,5.08
62,066,Northumberland County Public Schools,46644.0,47263.0,1.33,45257.0,-4.24
63,067,Nottoway County Public Schools,39961.0,42025.0,5.16,48461.0,15.32
64,068,Orange County Public Schools,43133.0,41800.0,-3.09,40107.0,-4.05
65,069,Page County Public Schools,41602.0,43956.0,5.66,45697.0,3.96
66,070,Patrick County Public Schools,39783.0,40120.0,0.85,45505.0,13.42
67,071,Pittsylvania County Public Schools,41202.0,40924.0,-0.67,43764.0,6.94
68,072,Powhatan County Public Schools,45078.0,45637.0,1.24,48203.0,5.62
69,073,Prince Edward County Public Schools,42599.0,43507.0,2.13,46772.0,7.5
70,074,Prince George County Public Schools,45720.0,46996.0,2.79,50413.0,7.27
71,075,Prince William County Public Schools,58351.0,59656.0,2.24,57500.0,-3.61
72,077,Pulaski County Public Schools,38890.0,42876.0,10.25,44852.0,4.61
73,078,Rappahannock County Public Schools,43490.0,45312.0,4.19,46116.0,1.77
74,079,Richmond County Public Schools,44150.0,45242.0,2.47,48081.0,6.27
75,080,Roanoke County Public Schools,46734.0,47698.0,2.06,49375.0,3.52
76,081,Rockbridge County Public Schools,40043.0,40621.0,1.44,42571.0,4.8
77,082,Rockingham County Public Schools,43154.0,44484.0,3.08,45359.0,1.97
78,083,Russell County Public Schools5,36054.0,37006.0,2.64,39203.0,5.94
79,084,Scott County Public Schools,41271.0,43542.0,5.5,44267.0,1.67
80,085,Shenandoah County Public Schools,44284.0,44835.0,1.25,45377.0,1.21
81,086,Smyth County Public Schools,36969.0,42986.0,16.27,44902.0,4.46
82,087,Southampton County Public Schools,42082.0,43078.0,2.37,45462.0,5.53
83,088,Spotsylvania County Public Schools,49414.0,52291.0,5.82,54047.0,3.36
84,089,Stafford County Public Schools,51383.0,52251.0,1.69,52407.0,0.3
85,090,Surry County Public Schools,44351.0,44646.0,0.67,46169.0,3.41
86,091,Sussex County Public Schools,44553.0,45520.0,2.17,44650.0,-1.91
87,092,Tazewell County Public Schools,39944.0,45520.0,13.96,49070.0,7.8
88,093,Warren County Public Schools,43361.0,43822.0,1.06,45964.0,4.89
89,094,Washington County Public Schools,41560.0,42599.0,2.5,44070.0,3.45
90,095,Westmoreland County Public Schools,42707.0,43386.0,1.59,45924.0,5.85
91,096,Wise County Public Schools,42253.0,44130.0,4.44,42744.0,-3.14
92,097,Wythe County Public Schools,41164.0,42717.0,3.77,45048.0,5.46
93,098,York County Public Schools,46925.0,48136.0,2.58,50795.0,5.52
94,101,Alexandria City Public Schools,65202.0,68315.0,4.77,72075.0,5.5
95,102,Bristol City Public Schools,43373.0,43607.0,0.54,48217.0,10.57
96,103,Buena Vista City Public Schools,43262.0,42461.0,-1.85,45738.0,7.72
97,104,Charlottesville City Public Schools,50325.0,52985.0,5.29,55193.0,4.17
98,106,Colonial Heights City Public Schools,47838.0,50158.0,4.85,51703.0,3.08
99,107,Covington City Public Schools,44640.0,44710.0,0.16,45913.0,2.69
