,Division,Name,"FY 2011 
Actual Average Teacher Salary","FY 2012 
Actual Average Teacher Salary",FY 2011 to FY 2012 Percent Increase/ (Decrease),"FY 2013 
Budgeted Average Teacher Salary",FY 2012 to FY 2013 Percent Increase/ (Decrease)
0,001,Accomack County Public Schools,38600.0,38727.0,0.33,38862.0,0.35
1,002,Albemarle County Public Schools,51512.0,50959.0,-1.07,54543.0,7.03
2,003,Alleghany County Public Schools,47114.0,47184.0,0.15,47661.0,1.01
3,004,Amelia County Public Schools,44762.0,45581.0,1.83,47403.0,4.0
4,005,Amherst County Public Schools,43684.0,43609.0,-0.17,45799.0,5.02
5,006,Appomattox County Public Schools,41177.0,40133.0,-2.54,45131.0,12.45
6,007,Arlington County Public Schools,68979.0,69185.0,0.3,74425.0,7.57
7,008,Augusta County Public Schools,43692.0,43669.0,-0.05,43119.0,-1.26
8,009,Bath County Public Schools,41715.0,43288.0,3.77,46905.0,8.35
9,010,Bedford County Public Schools1,41023.0,41599.0,1.4,41391.0,-0.5
10,011,Bland County Public Schools,41583.0,42225.0,1.54,41153.0,-2.54
11,012,Botetourt County Public Schools,48130.0,47622.0,-1.05,44771.0,-5.99
12,013,Brunswick County Public Schools,39216.0,39404.0,0.48,41306.0,4.83
13,014,Buchanan County Public Schools,39532.0,40044.0,1.3,33927.0,-15.28
14,015,Buckingham County Public Schools,42426.0,40797.0,-3.84,44544.0,9.19
15,016,Campbell County Public Schools,41605.0,40884.0,-1.73,41733.0,2.08
16,017,Caroline County Public Schools,42473.0,42523.0,0.12,45820.0,7.75
17,018,Carroll County Public Schools,42371.0,40442.0,-4.55,41238.0,1.97
18,019,Charles City County Public Schools,40379.0,40408.0,0.07,43068.0,6.58
19,020,Charlotte County Public Schools,41092.0,41057.0,-0.09,48717.0,18.66
20,021,Chesterfield County Public Schools,48233.0,47273.0,-1.99,47256.0,-0.04
21,022,Clarke County Public Schools,47771.0,46852.0,-1.92,50692.0,8.2
22,023,Craig County Public Schools,40557.0,41442.0,2.18,43660.0,5.35
23,024,Culpeper County Public Schools,45811.0,47252.0,3.15,48562.0,2.77
24,025,Cumberland County Public Schools,42935.0,44634.0,3.96,42770.0,-4.18
25,026,Dickenson County Public Schools,41776.0,42123.0,0.83,42268.0,0.34
26,027,Dinwiddie County Public Schools,46594.0,45107.0,-3.19,42912.0,-4.87
27,028,Essex County Public Schools,46262.0,45899.0,-0.79,42888.0,-6.56
28,029,Fairfax County Public Schools2,62074.0,63203.0,1.82,61035.0,-3.43
29,030,Fauquier County Public Schools,54615.0,54975.0,0.66,52224.0,-5.0
30,031,Floyd County Public Schools,42772.0,42542.0,-0.54,42580.0,0.09
31,032,Fluvanna County Public Schools,50822.0,50376.0,-0.88,50570.0,0.38
32,033,Franklin County Public Schools,43314.0,43895.0,1.34,44399.0,1.15
33,034,Frederick County Public Schools,47672.0,47490.0,-0.38,49825.0,4.92
34,035,Giles County Public Schools,39458.0,38340.0,-2.83,37325.0,-2.65
35,036,Gloucester County Public Schools,46306.0,46108.0,-0.43,49800.0,8.01
