,Division,"FY 2015
Actual Average Teacher Salary","FY 2016
Actual Average Teacher Salary",FY 2015 to FY 2016 Percent Increase/ (Decrease),"FY 2017
Budgeted Average Teacher Salary",FY 2016 to FY 2017 Percent Increase/ (Decrease)
1,001,43712,44339,1.43,46198,4.19
2,002,54449,55281,1.54,56205,1.67
3,003,48507,48391,-0.24,47914,-0.99
4,004,49150,51473,4.73,54230,5.36
5,005,45111,46323,2.69,46200,-0.27
6,006,38949,40052,2.83,39948,-0.26
7,007,74534,76942,3.23,79542,3.38
8,008,48602,48610,0.02,48494,-0.24
9,009,48410,47911,-1.03,48149,0.50
10,010,40986,43210,5.43,49490,14.53
11,011,42605,42245,-0.84,46198,9.36
12,012,51293,51584,0.57,52431,1.64
13,013,40223,40649,1.06,42178,3.76
14,014,41429,45037,8.71,49003,8.81
15,015,41477,43398,4.63,49577,14.24
16,016,43305,45822,5.81,50545,10.31
17,017,48630,48038,-1.22,48695,1.37
18,018,45563,44025,-3.37,46466,5.54
19,019,43666,40452,-7.36,42239,4.42
20,020,46244,44762,-3.20,47249,5.56
21,021,50281,50697,0.83,50797,0.2
22,022,50152,52019,3.72,47710,0.97
23,023,41580,41456,-0.3,33657,-18.81
24,024,49318,49140,-0.36,46698,-4.97
25,025,48098,47303,-1.65,45334,-4.16
26,026,39429,40667,3.14,40759,0.22
27,027,47890,49021,2.36,47195,-3.72
28,028,46012,46718,1.53,48260,3.30
29,029,64924,66084,1.79,67562,2.24
30,030,53705,55298,2.97,56178,1.59
31,031,45484,44563,-2.02,47066,5.62
32,032,53498,52651,-1.58,53873,2.32
33,033,48223,49217,2.06,49771,1.12
34,034,53806,54180,0.7,56121,3.58
35,035,41882,42168,0.68,43277,2.63
36,036,48091,51145,6.35,49519,-3.18
37,037,48401,48912,1.06,50342,2.92
38,038,39136,39297,0.41,44795,13.99
39,039,48720,49567,1.74,49502,-0.13
40,040,47216,48915,3.6,48127,-1.61
41,041,37252,39840,6.95,39697,-0.36
42,042,51720,56106,8.48,56867,1.36
43,043,48850,50743,3.87,51947,2.37
44,044,46766,46714,-0.11,49395,5.74
45,045,49377,51690,4.68,51895,0.4
46,046,55609,54358,-2.25,56171,3.34
47,048,49676,51849,4.37,54079,4.3
48,049,47766,48253,1.02,50352,4.35
49,050,50506,49969,-1.06,48348,-3.24
50,051,41358,49563,19.84,44139,-10.94
51,052,43211,45631,5.6,45210,-0.92
52,053,64184,65678,2.33,63516,-3.29
53,054,51901,52874,1.87,48570,-8.14
54,055,46559,43697,-6.15,49078,12.31
55,056,42770,43419,1.52,44264,1.95
56,057,45370,44478,-1.97,44701,0.5
57,058,44212,44424,0.48,46179,3.95
58,059,45379,46124,1.64,44180,-4.22
59,060,50605,52111,2.98,52177,0.13
60,062,53096,53745,1.22,51982,-3.28
61,063,45833,47200,2.98,47189,-0.02
62,065,43396,44266,2.0,51575,16.51
63,066,49814,50922,2.22,45893,-9.88
64,067,46481,47043,1.21,47128,0.18
65,068,50073,49447,-1.25,50682,2.5
66,069,46504,46911,0.88,47191,0.6
67,070,43528,44198,1.54,42248,-4.41
68,071,44840,45402,1.25,47012,3.55
69,072,55348,55313,-0.06,55463,0.27
70,073,41166,41302,0.33,44015,6.57
71,074,50814,51148,0.66,53990,5.56
72,075,60011,65902,9.82,60227,-8.61
73,077,44086,45312,2.78,39127,-13.65
74,078,53250,51136,-3.97,47939,-6.25
75,079,47968,49860,3.94,51059,2.4
76,080,49967,51942,3.95,52625,1.32
77,081,49113,50873,3.58,49270,-3.15
78,082,49478,49469,-0.02,50576,2.24
79,083,39102,39067,-0.09,40057,2.53
80,084,45093,46069,2.17,45599,-1.02
81,085,48195,48284,0.18,47712,-1.19
82,086,43186,43911,1.68,44199,0.65
83,087,45503,46782,2.81,47604,1.76
84,088,53438,54284,1.58,51568,-5.0
85,089,54490,56462,3.62,53152,-5.86
86,090,52665,51912,-1.43,53857,3.75
87,091,53874,50720,-5.86,50199,-1.03
88,092,37498,37116,-1.02,30919,-16.7
89,093,47147,48717,3.33,49066,0.72
90,094,46105,49314,6.96,51416,4.26
91,095,43218,46103,6.68,47345,2.69
92,096,47418,46917,-1.06,49145,4.75
93,097,46903,47165,0.56,48528,2.89
94,098,52301,52505,0.39,53142,1.21
95,101,74664,74738,0.1,76251,2.02
96,102,43904,46844,6.7,48413,3.35
97,103,42310,43986,3.96,45508,3.46
98,104,56310,59231,5.19,59872,1.08
99,106,49971,50601,1.26,52350,3.46
100,107,50119,54448,8.64,53109,-2.46
101,108,48398,48665,0.55,47784,-1.81
102,109,74630,77157,3.39,79048,2.45
103,110,52807,54054,2.36,53778,-0.51
104,111,48307,48092,-0.44,48439,0.72
105,112,48964,50312,2.75,46867,-6.85
106,113,45039,45791,1.67,46175,0.84
107,114,45630,47714,4.57,48568,1.79
108,115,47476,46794,-1.44,43297,-7.47
109,116,44823,44585,-0.53,46283,3.81
110,117,51153,52838,3.29,53995,2.19
111,118,50081,50235,0.31,43580,-13.25
112,119,41641,43755,5.08,38284,-12.5
113,120,43796,46387,5.92,48724,5.04
114,121,51310,52428,2.18,57415,9.51
115,122,49649,50482,1.68,50254,-0.45
116,123,49858,49079,-1.56,48100,-1.99
117,124,48707,51061,4.83,51337,0.54
118,126,47104,48085,2.08,49280,2.49
119,127,54131,56232,3.88,50213,-10.7
120,128,54375,54577,0.37,56744,3.97
121,130,46812,47286,1.01,49703,5.11
122,131,54532,53800,-1.34,52363,-2.67
123,132,54055,55152,2.03,57693,4.61
124,135,46948,45716,-2.62,47262,3.38
125,136,56117,57524,2.51,57955,0.75
126,137,40048,41797,4.37,43429,3.91
127,139,55776,57387,2.89,57354,-0.06
128,142,49254,51352,4.26,50348,-1.96
129,143,61913,64390,4.0,64388,-0.0
130,144,59357,59208,-0.25,63734,7.64
131,202,48882,50502,3.32,57308,13.48
132,207,40073,41285,3.03,41507,0.54
